expression,reading,meaning,tags,guid
こたつ,こたつ,고타쓰(난방 탁자),JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,집착하다,JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,과장,JLPT_1 JLPT,c]NsRC|}O%
こつ (をつかむ),こつ (をつかむ),"요령, 비결",JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,익살,JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,국교,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,골동품,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,고정,JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,"문제, 사물, 사건, 상황",JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,고독,JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,온통,JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,메시지를 남기다,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,원체,JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,산산조각,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,"좋은, 호감 가는, 바람직한",JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,바둑판,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,개별,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,눈(을) 속이다,JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,"세심함, 정성스러움",JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,광고,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,넣다,JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,멘트,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,배어들다,JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,고유,JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,달력,JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,박다,JLPT_1 JLPT,oJEMYEm^we
ごらんなさい (かん),ごらんなさい (かん),"보세요, ~해 보세요",JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,"고립, 고립화",JLPT_1 JLPT,xYDSYkNe4i
懲りる,こりる,데다,JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,열중하다,JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,끈기,JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,논거,JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,혼혈,JLPT_1 JLPT,saDmLPZfe~
コンタクト (レンズ),コンタクト (レンズ),"접촉, 연락; 콘택트렌즈",JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,곤충,JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,근저,JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,혼동,JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,대조,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,제어,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,나침반,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,"근본, 기틀",JLPT_1 JLPT,I>Va~AQW*%
財,ざい,다음 단어를 만듦,JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,재회,JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,재해,JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,세균,JLPT_1 JLPT,I!s+/_djx3
細工,さいく,세공,JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,채굴,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,주기,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,"표결, 의결",JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,재건,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,재현,JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,재원,JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,재고,JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,"채산성, 수지",JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,크기,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,재생,JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,재정,JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,최선,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,채택,JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,재배,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,재발,JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,세포,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,채용,JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,가로막다,JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,지저귀다,JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,맑다,JLPT_1 JLPT,F_K.fXalP!
竿,さお,장대,JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,번영하다,JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,차액,JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,잔,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,물구나무서기,JLPT_1 JLPT,ec~&YKW}51
さきに (いぜん),さきに (いぜん),"먼저, 이전에",JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,사기,JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,삭감,JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,착오,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,작전,JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,"고함, 외침",JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,바치다,JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,바라보다,JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,명,JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,"내밀다, 넣다",JLPT_1 JLPT,A&xf;%;bo<
差し支える,さしつかえる,거리끼다,JLPT_1 JLPT,ve>x:VMBVJ
授ける,さずける,"전수하다, 점지하다",JLPT_1 JLPT,h.+pAO9bEu
摩する,さする,"문지르다, 쓰다듬다",JLPT_1 JLPT,yQu&Wz5|+#
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"틀림없이, 필시",JLPT_1 JLPT,FE`C@V&t[f
定まる,さだまる,"결정되다, 정해지다",JLPT_1 JLPT,"Ly=j.,,]V@"
定める,さだめる,정하다,JLPT_1 JLPT,MNqx6`F)B2
座談会,ざだんかい,좌담회,JLPT_1 JLPT,d!+{3%PNo}
雑,ざつ,잡-,JLPT_1 JLPT,PqMu^a?1a^
雑貨,ざっか,잡화,JLPT_1 JLPT,r5VCxxHAy|
殺人,さつじん,살인,JLPT_1 JLPT,tM%DouVsND
察する,さっする,"헤아리다, 짐작하다",JLPT_1 JLPT,LGG(>{BjoV
雑談,ざつだん,잡담,JLPT_1 JLPT,DK#>y3UE4B
さっと,さっと,죽,JLPT_1 JLPT,EKYb(VaO4Q
さっぱりする,さっぱりする,"개운하다, 거뜬하다, 산뜻하다",JLPT_1 JLPT,H|ANTa=Wl{
悟る,さとる,"깨닫다, 깨치다",JLPT_1 JLPT,v:Q4euCfA7
最中,さなか,"중간에, 가운데",JLPT_1 JLPT,A!j+&nF3Wn
座標,ざひょう,좌표,JLPT_1 JLPT,B0L0!.A0?}
さほど,さほど,별로,JLPT_1 JLPT,Eqh)/a:JaN
サボる,サボる,뺀질거리다,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF
様,さま,님,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez
寒気,さむけ,한기,JLPT_1 JLPT,N#;$qw^KPE
侍,さむらい,사무라이,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4
さも,さも,"정말로, 아주; 마치 ~인 듯",JLPT_1 JLPT,Gm-[^5Ln&h
作用,さよう,작용,JLPT_1 JLPT,"Oof8u=,|uS"
さらう (こどもを～),さらう (こどもを～),납치하다,JLPT_1 JLPT,B@RtBWjh/W
障る,さわる,"방해하다, 간섭하다, 영향을 미치다",JLPT_1 JLPT,Di(J(kaH;V
酸,さん,산,JLPT_1 JLPT,k/LaLYL|r#
山岳,さんがく,산악,JLPT_1 JLPT,nJs0S#DzgO
参議院,さんぎいん,참의원,JLPT_1 JLPT,O7n.x?;S]&
産休,さんきゅう,출산 휴가,JLPT_1 JLPT,k`Pzt}i$UW
サンキュー,サンキュー,감사,JLPT_1 JLPT,rQ2myGNLp<
残金,ざんきん,잔금,JLPT_1 JLPT,E</lr>b527
産後,さんご,산후,JLPT_1 JLPT,"Pge/h!,u.x"
残酷,ざんこく,잔혹,JLPT_1 JLPT,snLE.]5(UV
産出,さんしゅつ,소출,JLPT_1 JLPT,AItAE0vKn;
参照,さんしょう,참조,JLPT_1 JLPT,Q=29PP)W-_
参上,さんじょう,"찾아뵙다, 방문하다(겸양어)",JLPT_1 JLPT,w#SP~u0yM;
残高,ざんだか,잔고,JLPT_1 JLPT,K4gXaj[Vyi
サンタクロース,サンタクロース,산타클로스,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un
桟橋,さんばし,"잔교, 부두",JLPT_1 JLPT,qY2!_v~;bZ
賛美,さんび,"찬미, 찬송",JLPT_1 JLPT,e.-RuHb{48
山腹,さんぷく,"산허리, 산중턱",JLPT_1 JLPT,o2ZZ0`v<eS
産婦人科,さんふじんか,산부인과,JLPT_1 JLPT,C-(.5yIOQP
産物,さんぶつ,산물,JLPT_1 JLPT,E~s#%JNaV$
山脈,さんみゃく,산맥,JLPT_1 JLPT,x1O?:5^y|C
仕上がり,しあがり,"완성 상태, 마무리",JLPT_1 JLPT,yea;?+baU4
仕上,しあげ,"마무리, 마무리 작업",JLPT_1 JLPT,oEx[)E@iYE
仕上げる,しあげる,끝마무리하다,JLPT_1 JLPT,hK4h`Zw:aS
飼育,しいく,사육,JLPT_1 JLPT,e5/Z)LI]cr
強いて,しいて,바득바득,JLPT_1 JLPT,Bomwd0N#[6
シート,シート,시트,JLPT_1 JLPT,u]dm-2Z@p[
ジーパン,ジーパン,청바지,JLPT_1 JLPT,HXr(ew@{F#
仕入れる,しいれる,"사들이다, 매입하다",JLPT_1 JLPT,IFIIG{$W)<
強いる,しいる,"강요하다, 억지로 시키다, 강제하다",JLPT_1 JLPT,mim3NgV!o^
潮,しお,조수,JLPT_1 JLPT,bk[V+Gm9:@
歯科,しか,치과,JLPT_1 JLPT,OAZ`Wrx_o9
自我,じが,자아,JLPT_1 JLPT,b-m;dw=d{Y
自覚,じかく,자각,JLPT_1 JLPT,i/]v!LT[`[
仕掛,しかけ,"장치, 속임수, 메커니즘",JLPT_1 JLPT,Jsems8J4`^
仕掛ける,しかける,놓다,JLPT_1 JLPT,Ac40<_hm$3
しかしながら,しかしながら,"그렇지만, 그러나",JLPT_1 JLPT,Hq^C6[L3R8
色彩,しきさい,색깔,JLPT_1 JLPT,G$Z8Bsx{4U
式場,しきじょう,"식장, 예식장",JLPT_1 JLPT,rHP.1FI!Xg
しきたり,しきたり,"관습, 관례, 전통",JLPT_1 JLPT,sw_]y<P?Kn
事業,じぎょう,사업,JLPT_1 JLPT,A#sQ/bEEtj
軽蔑,けいべつ,능멸,JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,경력,JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,경로,JLPT_1 JLPT,AQ(D;C-S!0
けがらわしい,けがらわしい,"더럽다, 불결하다, 혐오스럽다",JLPT_1 JLPT,lJNQ&9#g@p
劇団,げきだん,극단,JLPT_1 JLPT,%y17:4{hj
激励,げきれい,격려,JLPT_1 JLPT,C6/gh1N08I
ゲスト,ゲスト,손님,JLPT_1 JLPT,lW>d7fCUoL
獣,けだもの,짐승,JLPT_1 JLPT,"o.IW_<j!,1"
決,けつ,"결정, 투표",JLPT_1 JLPT,h7W;[eV_6*
決意,けつい,결의,JLPT_1 JLPT,Gg{:k%<AT6
結核,けっかく,결핵,JLPT_1 JLPT,dB99/5N;ta
決議,けつぎ,결의,JLPT_1 JLPT,tcKhTpRM%o
結合,けつごう,결합,JLPT_1 JLPT,Q*@FzK(@81
決算,けっさん,결산,JLPT_1 JLPT,z2iqWC-nB~
月謝,げっしゃ,월사금,JLPT_1 JLPT,t[*0i:*.#i
決勝,けっしょう,결승,JLPT_1 JLPT,NFjb:+3q7*
結晶,けっしょう,결정,JLPT_1 JLPT,x*(Q^EE$u3
結成,けっせい,결성,JLPT_1 JLPT,c_%F>ZhYyr
結束,けっそく,단결,JLPT_1 JLPT,JdP5@BTWkb
げっそり,げっそり,쪽쪽,JLPT_1 JLPT,EtlnVvKbZd
決断,けつだん,결단,JLPT_1 JLPT,w;j;5-!>6(
月賦,げっぷ,월부금,JLPT_1 JLPT,I{X4ZTn7X9
欠乏,けつぼう,결핍,JLPT_1 JLPT,x8kzLzQh~#
蹴飛ばす,けとばす,"차다, 내차다",JLPT_1 JLPT,b5){X3eg^W
けなす,けなす,험담하다,JLPT_1 JLPT,BA]o8V-nRc
煙たい,けむたい,매캐하다,JLPT_1 JLPT,M_8T~aeKk.
煙る,けむる,연기나다,JLPT_1 JLPT,"O+^L$,-au7"
獣,けもの,짐승,JLPT_1 JLPT,q-7J3|/7Vg
家来,けらい,"수행원, 하인",JLPT_1 JLPT,n|b=[)XZ>2
下痢,げり,설사,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,D94n#KX+u`
権威,けんい,권위,JLPT_1 JLPT,lZZG^l>c$z
兼業,けんぎょう,겸업,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,x9DFE@YYzp
原形,げんけい,원형,JLPT_1 JLPT,"y2|y)U#`,-"
原型,げんけい,모형,JLPT_1 JLPT,"d5x_w+I&U,"
権限,けんげん,권한,JLPT_1 JLPT,wsBe&qWS]u
現行,げんこう,현행,JLPT_1 JLPT,cB#>jxDt}]
健在,けんざい,건재,JLPT_1 JLPT,K?xI8~wHA>
原作,げんさく,원작,JLPT_1 JLPT,"K<e+,WSWtr"
検事,けんじ,검사,JLPT_1 JLPT,H[xn?@;-+x
原子,げんし,원자,JLPT_1 JLPT,"b[T}G,9]G?"
元首,げんしゅ,국가 원수,JLPT_1 JLPT,cJ-$.|^5r+
原書,げんしょ,원서,JLPT_1 JLPT,wBia;+PSDE
懸賞,けんしょう,현상,JLPT_1 JLPT,B7|NMN9B[B
健全,けんぜん,건전,JLPT_1 JLPT,u-bm~%/EH(
元素,げんそ,원소,JLPT_1 JLPT,B2tvGhK[&9
同調,どうちょう,동조,JLPT_1 JLPT,n#0+>4}sN5
到底,とうてい,도저히(뒤에는 부정어가 옴),JLPT_1 JLPT,C.#O<.PWZ+
動的,どうてき,역동적,JLPT_1 JLPT,k^9j&Q>>|N
尊い,とうとい,존귀하다,JLPT_1 JLPT,o/:X}@s/ud
貴い,とうとい,존귀하다,JLPT_1 JLPT,uE?!53}hB@
同等,どうとう,동등,JLPT_1 JLPT,sS(wNIrQN<
堂々,どうどう,"당당함, 장엄함",JLPT_1 JLPT,O@p/U*&n{h
尊ぶ,とうとぶ,"소중히 여기다, 귀하게 여기다, 존중하다",JLPT_1 JLPT,NH2!B2Yh2E
どうにか,どうにか,"어떻게든, 어떤 식으로든",JLPT_1 JLPT,l_xfmqX[ub
投入,とうにゅう,"투입, 투하",JLPT_1 JLPT,mwsjMMb<d>
導入,どうにゅう,도입,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,m1+j$HqcF;
当人,とうにん,"관련된 사람, 그 사람",JLPT_1 JLPT,l]4=/bCF3a
同封,どうふう,동봉,JLPT_1 JLPT,hnY+6g21h_
逃亡,とうぼう,도망,JLPT_1 JLPT,qqqC#4{p[V
冬眠,とうみん,겨울잠,JLPT_1 JLPT,"B+T>Lb-B&,"
同盟,どうめい,동맹,JLPT_1 JLPT,oBig^AFvC5
どうやら,どうやら,어쩐지,JLPT_1 JLPT,LZH$.!k~sm
動力,どうりょく,동력,JLPT_1 JLPT,gcbdGzw%jw
登録,とうろく,등록,JLPT_1 JLPT,w(]v<(of^0
討論,とうろん,토론,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,ft/}AOp*ZE
遠ざかる,とおざかる,멀어지다,JLPT_1 JLPT,nANBsXm^[4
遠回り,とおまわり,우회,JLPT_1 JLPT,u;(Y+10j3P
トーン,トーン,톤,JLPT_1 JLPT,O1)Y~lZnk@
とかく,とかく,이런저런; 자칫하면; 어쨌든,JLPT_1 JLPT,Jhr>yBj`X[
とがめる,とがめる,꾸짖다,JLPT_1 JLPT,tCyhd<KEBb
時折,ときおり,때로,JLPT_1 JLPT,cBC8l)@|Bd
とぎれる,とぎれる,"멈추다, 중단되다",JLPT_1 JLPT,M`gmYE]A0;
研ぐ,とぐ,갈다,JLPT_1 JLPT,lUJgFysD==
特技,とくぎ,특기,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,"iyF,MXDXX4"
独裁,どくさい,독재,JLPT_1 JLPT,"c+G[A,i*M0"
特産,とくさん,특산,JLPT_1 JLPT,Cyr8}5s:<j
独自,どくじ,독자,JLPT_1 JLPT,iCBdeKS#GI
特集,とくしゅう,특집,JLPT_1 JLPT,wi!>SN]gEF
独占,どくせん,독점,JLPT_1 JLPT,j~8Pw]-mt@
独創,どくそう,독창성,JLPT_1 JLPT,gXnxl+EiHr
得点,とくてん,득점,JLPT_1 JLPT,"u`t,J1?=>5"
特派,とくは,특파,JLPT_1 JLPT,HzEPo`9b]p
特有,とくゆう,특유,JLPT_1 JLPT,s!rvO*5;{%
とげ (をさす),とげ (をさす),가시,JLPT_1 JLPT,hJ#iZ92?#q
遂げる,とげる,이루다,JLPT_1 JLPT,xrXbhn4rr4
～どころか,～どころか,"~은커녕, ~는 고사하고",JLPT_1 JLPT,EHH{[82H7I
年頃,としごろ,"나이, 결혼 적령기, 청소년기",JLPT_1 JLPT,etGaTJBp9c
戸締り,とじまり,문단속,JLPT_1 JLPT,br8:Ms=|$#
途上,とじょう,도중,JLPT_1 JLPT,u0JdXEY0c~
土台,どだい,"기틀, 밀알",JLPT_1 JLPT,cvkea1V_|{
途絶える,とだえる,두절되다,JLPT_1 JLPT,G6Wu+!]SF@
特許,とっきょ,특허,JLPT_1 JLPT,y;*Z>uq]4W
特権,とっけん,특권,JLPT_1 JLPT,k%B0csu$EA
とっさに,とっさに,"순간적으로, 즉석에서",JLPT_1 JLPT,q}5LIfDsGB
突如,とつじょ,"돌연, 돌연히",JLPT_1 JLPT,vs{$6V?ZhH
とって,とって,"~에게 있어서, ~로서",JLPT_1 JLPT,G05L%<Kvt?
突破,とっぱ,돌파,JLPT_1 JLPT,BUU#!_nB`?
土手,どて,둑,JLPT_1 JLPT,P7Y3[uoFO/
届,とどけ,"신고서, 통지서",JLPT_1 JLPT,k&rtuoJHn+
滞る,とどこおる,밀리다,JLPT_1 JLPT,K*Hz>u1V/7
整える,ととのえる,"정돈하다, 가다듬다",JLPT_1 JLPT,yz)tg)bvJH
止める,とどめる,"취소하다, 중단하다; 중단하다; 그만두다, 멈추다",JLPT_1 JLPT,IgE:xC]C-g
唱える,となえる,주창하다,JLPT_1 JLPT,Gg`8L(I3?q
殿様,とのさま,봉건 영주,JLPT_1 JLPT,xjLi|(N)Y!
土俵,どひょう,"스모 경기장, 씨름판",JLPT_1 JLPT,kt7if2NoDZ
扉,とびら,"문, 문짝",JLPT_1 JLPT,I24=_qRNG{
溝,どぶ,시궁창,JLPT_1 JLPT,Hzol[}&YZl
