expression,reading,meaning,tags,guid
直に,じかに,"직접, 바로",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5"
しかも,しかも,그것도,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#]
四季,しき,사계절,JLPT JLPT_2 JLPT_3,j=w0weSQi)
直,じき,"곧, 즉시",JLPT JLPT_2 JLPT_3,wd?tx<3Bac
時期,じき,시기,JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>
支給,しきゅう,지급,JLPT JLPT_2 JLPT_3,MpCDrKuR@c
至急,しきゅう,시급히,JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz"
しきりに,しきりに,연방,JLPT JLPT_2 JLPT_3,E|Rw@W(/Em
刺激,しげき,자극,JLPT JLPT_2 JLPT_3,PD*^rLK60i
資源,しげん,자원,JLPT JLPT_2 JLPT_3,m(PG+T&|gr
事件,じけん,사건,JLPT JLPT_2 JLPT_3,MbFCnlA+g8
時刻,じこく,시각,JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n"
自殺,じさつ,자살,JLPT JLPT_2 JLPT_3,y#JDw}f8E1
事実,じじつ,사실,JLPT JLPT_2 JLPT_3,qUB-Jtt?i`
支出,ししゅつ,지출,JLPT JLPT_2 JLPT_3,PrmuroD(_w
事情,じじょう,"노릇, 사정",JLPT JLPT_2 JLPT_3,B&D.VmCJRe
詩人,しじん,시인,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr
自身,じしん,자신,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA
沈む,しずむ,가라앉다,JLPT JLPT_2 JLPT_3,v(wY-5e=dv
自然,しぜん,"자연, 자연적",JLPT JLPT_2 JLPT_3,K#D]Lme)]J
思想,しそう,사상,JLPT JLPT_2 JLPT_3,"udM,dvR}EZ"
舌,した,혀,JLPT JLPT_2 JLPT_3,i22E-x*lSS
次第,しだい,"점점, 차츰차츰; ~하는 대로(동사의 연용형에 접속)",JLPT JLPT_2 JLPT_3,m7IQESq>:Z
従う,したがう,따르다,JLPT JLPT_2 JLPT_3,jQOK[Z2G2a
したがって,したがって,따라서; 그러므로; 그 결과,JLPT JLPT_2 JLPT_3,zE+XZL-yO%
親しい,したしい,친밀하다,JLPT JLPT_2 JLPT_3,JLb1]#eUH.
質,しつ,질,JLPT JLPT_2 JLPT_3,i9bGgE8&)u
失業,しつぎょう,실업,JLPT JLPT_2 JLPT_3,L*e(K1S8y>
湿気,しっけ,습기,JLPT JLPT_2 JLPT_3,mI:_~nX$Y!
実験,じっけん,실험,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;
実現,じつげん,"구현, 실현",JLPT JLPT_2 JLPT_3,fGH.>rJnym
実行,じっこう,실행,JLPT JLPT_2 JLPT_3,O_Qp[P4rQP
実際,じっさい,"기실, 실상",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,"
実施,じっし,실시,JLPT JLPT_2 JLPT_3,dXLqmB^MiP
湿度,しつど,습도,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn
じっと,じっと,"가만, 그윽이",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n
実に,じつに,정말로,JLPT JLPT_2 JLPT_3,I|OQWMaQog
実は,じつは,기실,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F
失望,しつぼう,"낙망, 낙심",JLPT JLPT_2 JLPT_3,mi8g|r~Txf
実力,じつりょく,실력,JLPT JLPT_2 JLPT_3,F5g81kES4+
支店,してん,지점,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>
指導,しどう,지도,JLPT JLPT_2 JLPT_3,AKsjeKTYcK
自動,じどう,자동,JLPT JLPT_2 JLPT_3,O4.zUw/o_S
児童,じどう,어린이,JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq"
品,しな,물건,JLPT JLPT_2 JLPT_3,bDnAvhtlH7
支配,しはい,지배,JLPT JLPT_2 JLPT_3,GJx2Cizi1x
芝居,しばい,극,JLPT JLPT_2 JLPT_3,gtSlTkyCFW
しばしば,しばしば,빈번히,JLPT JLPT_2 JLPT_3,oKzAa``eqH
芝生,しばふ,잔디밭,JLPT JLPT_2 JLPT_3,"wbx:,PABM*"
支払,しはらい,지불,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`
支払う,しはらう,지불하다,JLPT JLPT_2 JLPT_3,"ND2,<K].}x"
死亡,しぼう,죽음,JLPT JLPT_2 JLPT_3,zYjIN3r3C
資本,しほん,자본,JLPT JLPT_2 JLPT_3,K]eJp4bmn-
姉妹,しまい,자매,JLPT JLPT_2 JLPT_3,D=K+>4{9gs
しまった (かん),しまった (かん),젠장!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn
自慢,じまん,자만,JLPT JLPT_2 JLPT_3,I/xy:2]J/|
地味,じみ,수수함,JLPT JLPT_2 JLPT_3,o(yU(Vt?_.
示す,しめす,"표하다, 뜻하다",JLPT JLPT_2 JLPT_3,Jd8*LeirRj
占める,しめる,차지하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F
湿る,しめる,젖다,JLPT JLPT_2 JLPT_3,uFiSD0nBbH
下,しも,아래,JLPT JLPT_2 JLPT_3,"NEdu]f-jA,"
霜,しも,서리,JLPT JLPT_2 JLPT_3,r%B(k2*%-2
借金,しゃっきん,빚,JLPT JLPT_2 JLPT_3,HTrhI~ql4k
しゃべる,しゃべる,"떠들다, 지껄이다, 수다떨다",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF
週,しゅう,주,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t"
州,しゅう,다음 단어를 만듦; 주,JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0"
銃,じゅう,총,JLPT JLPT_2 JLPT_3,g}R=q_AV`]
周囲,しゅうい,주위,JLPT JLPT_2 JLPT_3,k;vO#x`Yq;
収穫,しゅうかく,수확,JLPT JLPT_2 JLPT_3,Q1;gC;3=ME
宗教,しゅうきょう,종교,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ
重視,じゅうし,중시,JLPT JLPT_2 JLPT_3,p)R=DLs-/X
就職,しゅうしょく,취업,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq
ジュース,ジュース,과실음료,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz
修正,しゅうせい,수정,JLPT JLPT_2 JLPT_3,gUKGu[G9oC
重体,じゅうたい,중태,JLPT JLPT_2 JLPT_3,"F]Ml+g6],&"
渋滞,じゅうたい,체증,JLPT JLPT_2 JLPT_3,f6HLmc1`E?
重大,じゅうだい,중대,JLPT JLPT_2 JLPT_3,bRTiuj?[St
住宅,じゅうたく,주택,JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8"
集団,しゅうだん,집단,JLPT JLPT_2 JLPT_3,O[N$vC_)x(
集中,しゅうちゅう,집중,JLPT JLPT_2 JLPT_3,z{<Xu{#h*c
収入,しゅうにゅう,수입,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v
住民,じゅうみん,거주민,JLPT JLPT_2 JLPT_3,M3~&[?-]c=
重要,じゅうよう,중요,JLPT JLPT_2 JLPT_3,d;5d4|x2m2
修理,しゅうり,수리,JLPT JLPT_2 JLPT_3,i2Z^HI-&!g
主義,しゅぎ,주의,JLPT JLPT_2 JLPT_3,mm(7ICuhH@
宿泊,しゅくはく,숙박,JLPT JLPT_2 JLPT_3,sJf/S8qo)G
手術,しゅじゅつ,수술,JLPT JLPT_2 JLPT_3,O=U-eHfq4I
首相,しゅしょう,국무총리,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,"
手段,しゅだん,수,JLPT JLPT_2 JLPT_3,cG]JN2+6BK
主張,しゅちょう,주장,JLPT JLPT_2 JLPT_3,PQKr-g-1[?
出場,しゅつじょう,출전,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b
出身,しゅっしん,출신,JLPT JLPT_2 JLPT_3,E~$fFKz?VN
出版,しゅっぱん,출판,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ
首都,しゅと,수도,JLPT JLPT_2 JLPT_3,"pV,3~,Z87["
主婦,しゅふ,주부,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B
主要,しゅよう,주요,JLPT JLPT_2 JLPT_3,e/wz>k>*.!
需要,じゅよう,수요,JLPT JLPT_2 JLPT_3,wIb;!:/d[S
種類,しゅるい,종류,JLPT JLPT_2 JLPT_3,yLzP_}wHk~
順,じゅん,-순,JLPT JLPT_2 JLPT_3,j(7}!qj-R?
瞬間,しゅんかん,순간,JLPT JLPT_2 JLPT_3,w74BNqe`C[
順調,じゅんちょう,순조; 순조롭다,JLPT JLPT_2 JLPT_3,QTXqs`sU2C
順番,じゅんばん,차례,JLPT JLPT_2 JLPT_3,"B3?=*++0m,"
使用,しよう,사용,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v"
小,しょう,소,JLPT JLPT_2 JLPT_3,He3e1#-/kV
章,しょう,장,JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1
賞,しょう,상,JLPT JLPT_2 JLPT_3,ixda5oQQ=r
上,じょう,상,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5
障害,しょうがい,장애,JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv
奨学金,しょうがくきん,장학금,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:
乗客,じょうきゃく,승객,JLPT JLPT_2 JLPT_3,F?2lxj<[^L
上京,じょうきょう,상경,JLPT JLPT_2 JLPT_3,EmcG8c7y3D
状況,じょうきょう,모양새,JLPT JLPT_2 JLPT_3,eJ+`w-qU@C
条件,じょうけん,조건,JLPT JLPT_2 JLPT_3,PesF@2hHde
正午,しょうご,정오,JLPT JLPT_2 JLPT_3,i0$lSUJ-1J
正直,しょうじき,정직,JLPT JLPT_2 JLPT_3,l~d^29Cn=%
常識,じょうしき,상식,JLPT JLPT_2 JLPT_3,b?[*`UKS8R
少女,しょうじょ,소녀,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x
少々,しょうしょう,다소,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz
症状,しょうじょう,증상,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE
生じる,しょうじる,가다,JLPT JLPT_2 JLPT_3,"F/qG4,c8v/"
状態,じょうたい,상태,JLPT JLPT_2 JLPT_3,u!E?FPG-@p
上達,じょうたつ,실력이 향상됨,JLPT JLPT_2 JLPT_3,Cc{1AI[wlm
冗談,じょうだん,농담,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{
上等,じょうとう,금싸라기,JLPT JLPT_2 JLPT_3,tjn_MUpJQp
衝突,しょうとつ,충돌,JLPT JLPT_2 JLPT_3,D@=pGn%86P
商人,しょうにん,"장사꾼, 장사치",JLPT JLPT_2 JLPT_3,MlJB*>A^h!
承認,しょうにん,승인,JLPT JLPT_2 JLPT_3,"N==,~orf~["
少年,しょうねん,소년,JLPT JLPT_2 JLPT_3,p6fQoD5WK;
商売,しょうばい,장사,JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|"
消費,しょうひ,소비,JLPT JLPT_2 JLPT_3,r7nT91%)]@
商品,しょうひん,상품,JLPT JLPT_2 JLPT_3,w+UOx&@[sL
賞品,しょうひん,상품,JLPT JLPT_2 JLPT_3,M}I~*8Gv<&
消防,しょうぼう,소방,JLPT JLPT_2 JLPT_3,u20O%VZ|ID
情報,じょうほう,정보,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-
証明,しょうめい,증명,JLPT JLPT_2 JLPT_3,l8;-B$4N!G
省略,しょうりゃく,생략,JLPT JLPT_2 JLPT_3,jp1y&-#kyn
女王,じょおう,여왕,JLPT JLPT_2 JLPT_3,furG^[#|I<
職,しょく,직,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j"
職業,しょくぎょう,직업,JLPT JLPT_2 JLPT_3,tU=ntM)WP{
食卓,しょくたく,식탁,JLPT JLPT_2 JLPT_3,o})uu+vtqN
食品,しょくひん,식품,JLPT JLPT_2 JLPT_3,iU(>r<G;@0
植物,しょくぶつ,식물,JLPT JLPT_2 JLPT_3,mpdopLG{vR
食物,しょくもつ,"먹는 것, 음식",JLPT JLPT_2 JLPT_3,KrMVp?T5YJ
食欲,しょくよく,식욕,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^
食料,しょくりょう,식량,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~"
食糧,しょくりょう,식량,JLPT JLPT_2 JLPT_3,"e~`&J:],P}"
書斎,しょさい,서재,JLPT JLPT_2 JLPT_3,z(Zi=4k7-t
女子,じょし,여자,JLPT JLPT_2 JLPT_3,y}`qNApt9R
助手,じょしゅ,조수,JLPT JLPT_2 JLPT_3,F9rI>UKU}`
徐々に,じょじょに,서서히,JLPT JLPT_2 JLPT_3,Ik@-$!%)*d
署名,しょめい,서명,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,"
書物,しょもつ,"서적, 서책",JLPT JLPT_2 JLPT_3,dsq%HW0O`l
女優,じょゆう,여배우,JLPT JLPT_2 JLPT_3,g6/0nLbYEk
処理,しょり,처리,JLPT JLPT_2 JLPT_3,"n-}WPF,.CB"
書類,しょるい,서류,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#
知らせ,しらせ,기별,JLPT JLPT_2 JLPT_3,tE;LJdiq{b
尻,しり,궁둥이,JLPT JLPT_2 JLPT_3,Cp-T01W>>7
知合い,しりあい,"아는 사람, 지인",JLPT JLPT_2 JLPT_3,Jz(h+XVbH4
印,しるし,마크,JLPT JLPT_2 JLPT_3,F?8:NFp=(i
城,しろ,성,JLPT JLPT_2 JLPT_3,GnhkX+7b^.
進学,しんがく,진학,JLPT JLPT_2 JLPT_3,p#!GLXFzk~
神経,しんけい,신경,JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0"
真剣,しんけん,진지함; 진검,JLPT JLPT_2 JLPT_3,PuRLKa9@q(
信仰,しんこう,"믿음, 신앙",JLPT JLPT_2 JLPT_3,g~oH1SUq[>
信号,しんごう,신호,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f
人工,じんこう,인공,JLPT JLPT_2 JLPT_3,zQ3t>E=&2U
深刻,しんこく,심각,JLPT JLPT_2 JLPT_3,Kel_M-JGRX
診察,しんさつ,진찰,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2}
人種,じんしゅ,인종,JLPT JLPT_2 JLPT_3,Mm&n`P$vPl
信じる,しんじる,믿다,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`
人生,じんせい,인생,JLPT JLPT_2 JLPT_3,G{?]K0G%It
親戚,しんせき,친척,Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85
新鮮,しんせん,신선한,JLPT JLPT_2 JLPT_3,hgsIFo;k1C
心臓,しんぞう,심장,JLPT JLPT_2 JLPT_3,FBeXkqV5hu
身体,しんたい,신체,JLPT JLPT_2 JLPT_3,t3y~q`<OO!
身長,しんちょう,"키, 신장",JLPT JLPT_2 JLPT_3,v2>$s!00R?
慎重,しんちょう,신중,JLPT JLPT_2 JLPT_3,H{qX;#1p@y
審判,しんぱん,심판,JLPT JLPT_2 JLPT_3,"i+^OoCXV,-"
人物,じんぶつ,인물,JLPT JLPT_2 JLPT_3,OXSwNDOM:u
進歩,しんぽ,진보,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7
親友,しんゆう,벗,JLPT JLPT_2 JLPT_3,e!XKqiS_]u
信用,しんよう,신용,JLPT JLPT_2 JLPT_3,D_Xu621X(*
信頼,しんらい,신용,JLPT JLPT_2 JLPT_3,Cc(neZE[/;
心理,しんり,심리,JLPT JLPT_2 JLPT_3,M4-pHm{8Hp
人類,じんるい,인류,JLPT JLPT_2 JLPT_3,yGfC3NH0c~
巣,す,둥지,JLPT JLPT_2 JLPT_3,wae)m$%B2U
酢,す,식초,JLPT JLPT_2 JLPT_3,S|>MWw8{x
図,ず,-도,JLPT JLPT_2 JLPT_3,o=i@Vi;`4G
水準,すいじゅん,수준,JLPT JLPT_2 JLPT_3,LrR5Wf1Z7N
推薦,すいせん,추천,JLPT JLPT_2 JLPT_3,jvDU?eC@&E
スイッチ,スイッチ,스위치,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,D+{$1{/[wR
睡眠,すいみん,수면,JLPT JLPT_2 JLPT_3,wh0!*D%WvE
数,すう,수,JLPT JLPT_2 JLPT_3,J]}my?o<Q!
数字,すうじ,숫자,JLPT JLPT_2 JLPT_3,B[Gra1kO)v
スープ,スープ,수프,JLPT JLPT_2 JLPT_3,"s,J:5SYdW2"
末,すえ,말단,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,EyKo./;AAl
姿,すがた,자태,JLPT JLPT_2 JLPT_3,gTn!6ZHkYs
スキー,スキー,스키,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,EDq$^7+uK~
救う,すくう,구하다,JLPT JLPT_2 JLPT_3,Pzdj_}ruVB
すくなくとも,すくなくとも,적어도,JLPT JLPT_2 JLPT_3,s64aNUZ0&F
優れる,すぐれる,판치다,JLPT JLPT_2 JLPT_3,"fFuIf,@I[N"
スケート,スケート,스케이트,JLPT JLPT_2 JLPT_3,DQ0-nYW7>.
スケジュール,スケジュール,일정,JLPT JLPT_2 JLPT_3,m}P~NJ788C
少しも,すこしも,아주,JLPT JLPT_2 JLPT_3,pSmTW}7_?}
過ごす,すごす,지내다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,oE9$X-z%xN
筋,すじ,"선, 줄",JLPT JLPT_2 JLPT_3,M#_TzTBk6]
進める,すすめる,"진행시키다, 진척시키다",JLPT JLPT_2 JLPT_3,u2l`IqNk23
勧める,すすめる,권하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,"IBeh,nV1Dt"
スター,スター,별,JLPT JLPT_2 JLPT_3,hHJocr{1ix
スタイル,スタイル,스타일,JLPT JLPT_2 JLPT_3,wQruLdJqJI
スタンド,スタンド,스탠드,JLPT JLPT_2 JLPT_3,"Qz:R,pd5SR"
頭痛,ずつう,두통,JLPT JLPT_2 JLPT_3,hcxF9uQ5ZX
ずっと,ずっと,"사뭇, 죽",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,OCoZDHO:^u
すっぱい,すっぱい,시다,JLPT JLPT_2 JLPT_3,d)l(J.2Nu=
すてき,すてき,"멋지다, 멋진",JLPT JLPT_2 JLPT_3,B~-XSf&NNC
既に,すでに,이미,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,d=:dSSUK:`
すなわち,すなわち,"즉, 바꿔 말하면",JLPT JLPT_2 JLPT_3,zS=.lQe1_+
スピーチ,スピーチ,"연설, 스피치",JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,pvM3{8vA`1
全て,すべて,전부,JLPT JLPT_2 JLPT_3,kq!H^iT|N4
済ませる,すませる,"끝내다, 해결하다",JLPT JLPT_2 JLPT_3,vQUpvSA005
角,すみ,구석,JLPT JLPT_2 JLPT_3,b^^N<lR$T]
墨,すみ,먹,JLPT JLPT_2 JLPT_3,Pt>IB]Y%[8
すみません (かん),すみません (かん),"죄송합니다, 실례합니다",JLPT JLPT_2 JLPT_3,Kr6X0TH7=(
澄む,すむ,맑아지다,JLPT JLPT_2 JLPT_3,d^/yYeQD1M
清む,すむ,맑아지다,JLPT JLPT_2 JLPT_3,wMyt{WAjxX
刷る,する,찍다,JLPT JLPT_2 JLPT_3,MuPBNA;83U
為る,する,하다,JLPT JLPT_2 JLPT_3,z;FwzGK-v+
鋭い,するどい,"날카롭다, 뾰족하다, 뾰족뾰족하다",JLPT JLPT_2 JLPT_3,s@c[Ya@R|h
すれ違う,すれちがう,맞닥트리다,JLPT JLPT_2 JLPT_3,fP+0(@n(JZ
ずれる,ずれる,어긋나다,JLPT JLPT_2 JLPT_3,F2j?XV=5UF
正,せい,"정, 올바름; 정규",JLPT JLPT_2 JLPT_3,AC@`-8Z+qv
生,せい,"생, 출생",JLPT JLPT_2 JLPT_3,"yDy>Z9R,FJ"
性,せい,성,JLPT JLPT_2 JLPT_3,Gy*nj#x|I/
姓,せい,성,JLPT JLPT_2 JLPT_3,"sO,Mg|Q.hG"
所為,せい,탓,JLPT JLPT_2 JLPT_3,yy|zc*n):n
税,ぜい,세금,JLPT JLPT_2 JLPT_3,eEs:NyUxEV
性格,せいかく,성격,JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,l3(d&u3o-<
正確,せいかく,정확,JLPT JLPT_2 JLPT_3,rg^|Ktq*}h
世紀,せいき,세기,JLPT JLPT_2 JLPT_3,MQfIjnh7j}
請求,せいきゅう,청구,JLPT JLPT_2 JLPT_3,KNbh$sySYl
税金,ぜいきん,세금,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,Ah}s1$;.$[
清潔,せいけつ,청결,JLPT JLPT_2 JLPT_3,vJiZ-)))FJ
制限,せいげん,제한,JLPT JLPT_2 JLPT_3,P3D^cMd_|f
成功,せいこう,성공,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,bkv%QuVn22
正式,せいしき,정식,JLPT JLPT_2 JLPT_3,zSQ*)G#Yvj
性質,せいしつ,성질,JLPT JLPT_2 JLPT_3,E(70}4c-m*
精神,せいしん,정신,JLPT JLPT_2 JLPT_3,tLy]a8CB9?
成人,せいじん,어른,JLPT JLPT_2 JLPT_3,"g@,iQ!8;."
精々,せいぜい,끽하다,JLPT JLPT_2 JLPT_3,q[aqj]#7$-
成績,せいせき,성적,JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,o4$BUl?TFA
製造,せいぞう,제조,JLPT JLPT_2 JLPT_3,OAvZo`.~[q
贅沢,ぜいたく,사치,JLPT JLPT_2 JLPT_3,"iRbk]j,(Bl"
成長,せいちょう,성장,JLPT JLPT_2 JLPT_3,lSq)ru5`@&
生長,せいちょう,생장,JLPT JLPT_2 JLPT_3,G5ys*Os]kn
制度,せいど,제도,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,]d3#w;wAU
青年,せいねん,청년,JLPT JLPT_2 JLPT_3,r|D|m%Ih@3
生年月日,せいねんがっぴ,생년월일,JLPT JLPT_2 JLPT_3,H8|M5HOte?
製品,せいひん,제품,JLPT JLPT_2 JLPT_3,GY93^mZ;)a
政府,せいふ,정부,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21,zDQAHO%nD/
生物,せいぶつ,생물,JLPT JLPT_2 JLPT_3,nx3;swk;nm
生命,せいめい,생명,JLPT JLPT_2 JLPT_3,HfE8+JV[><
整理,せいり,"정리, 정돈; 처분",JLPT JLPT_2 JLPT_3,zlHgN/N7&U
咳,せき,기침,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,yQ$e7`wCNr
石炭,せきたん,석탄,JLPT JLPT_2 JLPT_3,t&C>c}0]R(
責任,せきにん,책임,JLPT JLPT_2 JLPT_3,HKrlH:Fl)i
石油,せきゆ,석유,JLPT JLPT_2 JLPT_3,"gJm,E%Jb`a"
世間,せけん,세간,JLPT JLPT_2 JLPT_3,pFmc#=7y9*
説,せつ,설,JLPT JLPT_2 JLPT_3,kNv(nqwBQ3
積極的,せっきょくてき,적극적,JLPT JLPT_2 JLPT_3,zQ[EQ]wde[
設計,せっけい,설계,JLPT JLPT_2 JLPT_3,i>to8js@e$
絶対,ぜったい,절대,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,"g,<A9qJmV)"
セット,セット,"벌, 세트",JLPT JLPT_2 JLPT_3,qu4w*^0<Ni
愛,あい,사랑,JLPT JLPT_2 JLPT_3,hFW1YrLt0]
相変わらず,あいかわらず,여전히,JLPT JLPT_2 JLPT_3,Ojow^*$or
愛情,あいじょう,애정,JLPT JLPT_2 JLPT_3,Qzcx!}<3R3
合図,あいず,신호,JLPT JLPT_2 JLPT_3,fU+XD$S~|s
アイスクリーム,アイスクリーム,아이스크림,JLPT JLPT_2 JLPT_3,NP9A]*VE%:
愛する,あいする,사랑하다,JLPT JLPT_2 JLPT_3,DeM>~uF)IC
