expression,reading,meaning,tags,guid
～車,～しゃ,차,JLPT JLPT_2,h)<Q^X85ag
～者,～しゃ,사람,JLPT JLPT_2,MTv(a]7l!6
～社,～しゃ,-사,JLPT JLPT_2,sQmjhXA-Mr
～手,～しゅ,-수,JLPT JLPT_2,IkixzX56yl
～酒,～しゅ,-주,JLPT JLPT_2,k?BC&(RjAH
～集,～しゅう,-집,JLPT JLPT_2,LdT;R@utl1
～所,～しょ,곳,JLPT JLPT_2,qVV9fum9%7
～所,～じょ,"곳, 장소",JLPT JLPT_2,cE:Y(}3[Wc
～女,～じょ,여-,JLPT JLPT_2,D4j(w~c1gi
～省,～しょう,성(정부부서),JLPT JLPT_2,v9~DY$oS}A
～商,～しょう,-상,JLPT JLPT_2,DK0!oyaXJR
～勝,～しょう,승,JLPT JLPT_2,E_qw?Tzvk_
～条,～じょう,조,JLPT_1 JLPT JLPT_2,q^S9+[e=*b
～場,～じょう,"~장, ~하는 곳",JLPT JLPT_2,eh5O)[W8C@
～畳,～じょう,장(다다미를 세는 단위),JLPT JLPT_2,gXTr~P6_;?
～色,～しょく,"색, 색깔",JLPT JLPT_2,w$+z1REIYB
～過ぎる,～すぎる,너무~하다,JLPT JLPT_2,"P,ja3J!YLK"
～済,～ずみ,"~완료, ~필",JLPT JLPT_2,ncGw.Yh;>r
～席,～せき,석,JLPT JLPT_2,sr9PdG~4;[
～船,～せん,-선,JLPT JLPT_2,JSy<S}QGsV
～戦,～せん,판,JLPT JLPT_2,M$gHOq[jYN
～前,～ぜん,전,JLPT JLPT_2,DTK5j`gi24
～沿い,～そい,"~을 따라, ~가",JLPT JLPT_2,"sbv*I,a%(h"
～艘,～そう,척(배를 세는 단위),JLPT JLPT_2,AT^w8|Z/Tg
～足,～そく,켤레,JLPT JLPT_2,q&YH/C!y&b
～だらけ,～だらけ,"주머니, 천지",JLPT JLPT_2,C*zDXpDGOo
～団,～だん,-단,JLPT JLPT_2,"JAUz(u,OT1"
～着,～ちゃく,벌,JLPT JLPT_2,LNy/i0~?h*
～庁,～ちょう,-청,JLPT JLPT_2,Nh*HbZ~CkX
～兆,～ちょう,조,JLPT JLPT_2,jHeL$YV:ox
～長,～ちょう,"장, 주인",JLPT JLPT_2,i0hy<f%]dq
～帳,～ちょう,-장,JLPT JLPT_2,e.I(|go>z(
～丁目,～ちょうめ,-가,JLPT JLPT_2,z[Zeu>wor`
～通,～つう,통,JLPT JLPT_2,gcs`gQZBri
～遣い,～づかい,"~씀씀이, 사용법",JLPT JLPT_2,C?GOcbN8fi
～付,～つき,~이 딸린,JLPT JLPT_2,L%2+~L_:IY
～続く,～つづく,가다,JLPT JLPT_2,u%o(or2@%{
～辛い,～づらい,맵다; 심하다,JLPT JLPT_2,u@W}x:nhL8
～滴,～てき,"방울, 점",JLPT JLPT_2,J%ti108Zf0
～点,～てん,~점(점수 단위),JLPT JLPT_2,Q=wx{JnD0/
～頭,～とう,마리,JLPT JLPT_2,Q04jNq<%}1
～等,～とう,등,JLPT JLPT_2,t~N);db(/R
～島,～とう,-도,JLPT JLPT_2,xDO?MQ[t-7
～道,～どう,어간의 하나; 길,JLPT JLPT_2,NK#jvaQLbz
～通り,～とおり,거리,JLPT JLPT_2,i!k>vq-guB
～ところ,～ところ,참,JLPT JLPT_2,B;8DjvC&9}
～内,～ない,안,JLPT JLPT_2,K?<zC9:h:N
～年生,～ねんせい,년생,JLPT JLPT_2,seB~`F&UPJ
～泊,～はく,박,JLPT JLPT_2,PblG<4:M5~
～発,～はつ,발,JLPT JLPT_2,e#d]&/=XN}
～番目,～ばんめ,번째,JLPT JLPT_2,i*esVeP_ak
～費,～ひ,-비,JLPT JLPT_2,u[jm+{6L3X
～病,～びょう,병,JLPT JLPT_2,A*!}.Pwu5m
～部,～ぶ,부,JLPT JLPT_2,fPDrnMwV)X
～風,～ふう,-풍,JLPT JLPT_2,l^t;?>.nOp
～振り,～ぶり,~만에; ~하는 모습,JLPT JLPT_2,;^fUn`g0d
～遍,～へん,"~번, ~회",JLPT JLPT_2,K&5Px_U7gs
～弁,～べん,꼭지,JLPT JLPT_2,jOUF!M-NS3
～歩,～ほ,걸음,JLPT JLPT_2,Bd!L5Wz^Su
～ぽい,～ぽい,-맞다,JLPT JLPT_2,f_=g;f`{~[
～ほう (ひかく),～ほう (ひかく),~쪽(비교),JLPT JLPT_2,bVM<L+hK+`
～みたい,～みたい,~처럼 보인다,JLPT JLPT_2,N{CD^3;+~1
～向け,～むけ,대상·행선지를 나타냄,JLPT JLPT_2,"Gc8ij%t,3="
～名,～めい,이름,JLPT JLPT_2,u?LD1<v]&U
～もち,～もち,"떡; 가짐, 소유",JLPT JLPT_2,kcFc6H|EaR
～問,～もん,어간의 하나,JLPT JLPT_2,r$GN8{}74-
～夜,～や,밤,JLPT JLPT_2,Cczj9?Yw&<
～等,～ら,~등,JLPT JLPT_2,yo94:>GuX6
～流,～りゅう,-류,JLPT JLPT_2,zpH1qv^$%p
～料,～りょう,"요금, 요금표",JLPT JLPT_2,IX116ZKh4C
～領,～りょう,-령,JLPT JLPT_2,MXZX<Kqb>
～力,～りょく,힘,JLPT JLPT_2,G<sBHiz^]!
～論,～ろん,-론,JLPT JLPT_2,"ec<,e&v$V7"
～羽,～わ,마리(새·토끼를 세는 단위),JLPT JLPT_2,FQL)TF/a}O
相変わらず,あいかわらず,여전히,JLPT JLPT_2,B>ep8MopYw
アイデア; アイディア,アイデア; アイディア,생각,JLPT JLPT_2,NkL-h!TKp$
あいまい,あいまい,애매한,JLPT JLPT_2,"y8aZ,my]%p"
扇ぐ,あおぐ,부채질하다,JLPT JLPT_2,Gk2+[0&j}c
青白い,あおじろい,창백하다,JLPT JLPT_2,B[(dutQ)|%
呆れる,あきれる,"충격을 받다, 경악하다",JLPT JLPT_2,o8s#rYeo4>
アクセント,アクセント,악센트,JLPT JLPT_2,"w=+|,GhTIn"
あくび,あくび,하품,JLPT JLPT_2,v|~6.5@[n^
飽くまで,あくまで,"어디까지나, 끝까지",JLPT JLPT_2,"vD,5@+@_q]"
明くる～,あくる～,다음,JLPT JLPT_2,c0UJ5Dk9?v
明け方,あけがた,새벽,JLPT JLPT_2,pi=5b}Xk:R
憧れる,あこがれる,동경하다,JLPT JLPT_2,c:=`W|}Gw`
朝寝坊,あさねぼう,늦잠,JLPT JLPT_2,kR|>&(p6rG
足跡,あしあと,자국,JLPT JLPT_2,lj:ebvgd-q
足元,あしもと,발밑,JLPT JLPT_2,Ha)Qe[babj
味わう,あじわう,맛보다,JLPT JLPT_2,uxSo4jtf~d
預かる,あずかる,맡다,JLPT JLPT_2,LJpv~D13xj
温まる,あたたまる,녹다,JLPT JLPT_2,B5XhWyF.q9
当たり前,あたりまえ,응당,JLPT JLPT_2,b#?!|FvT)4
あちらこちら,あちらこちら,"곳곳, 군데군데",JLPT JLPT_2,Q~Ip4wR{af
厚かましい,あつかましい,뻔뻔스럽다,JLPT JLPT_2,"wZ0,_rCNQo"
圧縮,あっしゅく,압축,JLPT JLPT_2,G:WAF/Dx1i
宛名,あてな,"주소성명, 수신인명",JLPT JLPT_2,"Q!,(6>`cO,"
当てはまる,あてはまる,"적합하다, 일치하다",JLPT JLPT_2,gWVd1Z[tfA
当てはめる,あてはめる,"적용하다, 적응하다",JLPT JLPT_2,OP(Hu}mMQq
暴れる,あばれる,날뛰다,JLPT JLPT_2,L6trU>v^!
脂,あぶら,기름,JLPT JLPT_2,t@*Ov{e4RP
あぶる,あぶる,굽다,JLPT JLPT_2,Jz@lzbGk7x
あふれる,あふれる,넘치다,JLPT JLPT_2,be7:(ploED
雨戸,あまど,덧문,JLPT JLPT_2,v+crs*_nva
甘やかす,あまやかす,응석을 받아 주다,JLPT JLPT_2,f~Uvnb+KP=
余る,あまる,남다,JLPT JLPT_2,r`ob2WL<}I
編み物,あみもの,뜨개질,JLPT JLPT_2,KBOilYWmo2
あみもの,あみもの,"편물, 뜨개질",JLPT JLPT_2,"wR7~d.J/,$"
編む,あむ,뜨개질하다,Genki Genki_Ln.13 JLPT JLPT_2,"Bcd5,b]]w5"
危うい,あやうい,"위태롭다, 위태하다",JLPT JLPT_2,JYnP1Z3O1n
怪しい,あやしい,어정쩡하다,JLPT JLPT_2,r?rB[7EP>5
荒い,あらい,"거세다, 거칠다",JLPT JLPT_2,P5h|CxAaCE
粗い,あらい,"거칠다, 껄껄하다",JLPT JLPT_2,t~Hs$2O?FD
粗筋,あらすじ,줄거리,JLPT JLPT_2,GLP0^5#h&@
争う,あらそう,싸우다,JLPT JLPT_2,eC6vp6J:;c
改めて,あらためて,"새로이, 새삼스럽다",JLPT JLPT_2,M$)j_R%uiN
改める,あらためる,돌이키다,JLPT JLPT_2,k-ggJ#W2U)
あらわす,あらわす,저술하다,JLPT JLPT_2,jfH_)2c|9s
有難い,ありがたい,고맙다,JLPT JLPT_2,yLS%JRr`~I
あれこれ,あれこれ,이런저런 것,JLPT JLPT_2,H3{e@Ms<u9
荒れる,あれる,거칠다,JLPT JLPT_2,opLT~#LruK
慌ただしい,あわただしい,분주하다,JLPT JLPT_2,"d*5}[C^,EG"
慌てる,あわてる,당황하다,JLPT JLPT_2,RdWuu8/jDE
安易,あんい,"안이함, 손쉬움",JLPT JLPT_2,cpsk;f2&m/
案外,あんがい,의외로,JLPT JLPT_2,"E-`?,aYenW"
アンテナ,アンテナ,안테나,JLPT JLPT_2,u25h^5*Vx<
言い出す,いいだす,떼다,JLPT JLPT_2,ma-oStit-!
言い付ける,いいつける,명하다,JLPT JLPT_2,K=!C~7x9Db
意義,いぎ,의의,JLPT JLPT_2,K*wt2r`%<B
生き生き,いきいき,생생히,JLPT JLPT_2,Am|5$tSksY
いきなり,いきなり,"급작스레, 느닷없이",Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2,J=<-XB_N-t
幾～,いく～,몇,JLPT JLPT_2,o<XZoP)ZFl
育児,いくじ,육아,Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2,hwmLlQK_:7
幾分,いくぶん,다소,JLPT JLPT_2,wUiE3U*>P6
生け花,いけばな,꽃꽂이,JLPT JLPT_2,o!9H~`j>Ob
以後,いご,향후,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,"OpKq9d,k&%"
イコール,イコール,동등한,JLPT JLPT_2,F:$jr>Gcvz
以降,いこう,이후,JLPT JLPT_2,"hI7gX,ojpA"
勇ましい,いさましい,용감하다,JLPT JLPT_2,jh9$B&!xLP
衣食住,いしょくじゅう,의식주,JLPT JLPT_2,yYjE5SKh.|
いちいち,いちいち,"하나씩, 따로",JLPT JLPT_2,c`q7>|uO;;
一応,いちおう,"일단, 우선",JLPT JLPT_2,DUm[|ty]2z
一段と,いちだんと,한결,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,H2Se/ybI3t
一流,いちりゅう,일류,JLPT JLPT_2,Q-z[xmuvA*
一昨日,いっさくじつ,그저께,JLPT JLPT_2,q)l_a#Mm^@
一昨年,いっさくねん,재작년,JLPT JLPT_2,H3]XYSojiI
一斉,いっせい,일제,JLPT JLPT_2,H3C62{9DP`
一旦,いったん,일단,JLPT JLPT_2,"Fv;m,:R#X("
一定,いってい,일정,JLPT JLPT_2,Qx{lB{;UG~
行っていらっしゃい,いっていらっしゃい,다녀오세요,JLPT JLPT_2,Q~[>k~aD(O
いってきます,いってきます,다녀오겠습니다,JLPT JLPT_2,O;VZoV$S8W
いってまいります,いってまいります,다녀오겠습니다,JLPT JLPT_2,wg6qf;hcRZ
行ってらっしゃい,いってらっしゃい,다녀오세요,JLPT JLPT_2,eL-o)31hPE
移転,いてん,이전,JLPT JLPT_2,A[fI%[bpSh
井戸,いど,우물,JLPT JLPT_2,"Fw}ob1+9,G"
緯度,いど,위도,JLPT JLPT_2,mKsQtDevFo
威張る,いばる,깝죽이다,JLPT JLPT_2,kEp;c{E_R1
嫌がる,いやがる,싫어하다,JLPT JLPT_2,wwKIWtwwb&
いよいよ,いよいよ,드디어,JLPT JLPT_2,h5$?Ko/s)4
煎る,いる,볶다,JLPT JLPT_2,"bLrppO],[q"
炒る,いる,볶다,JLPT JLPT_2,dcy>(4#yAy
入れ物,いれもの,케이스,JLPT JLPT_2,RbLFeu/vvY
インキ,インキ,잉크,JLPT JLPT_2,I{rR0;+{t|
引力,いんりょく,중력,JLPT JLPT_2,cP:.V7Ysb%
ウーマン,ウーマン,여자,JLPT JLPT_2,"O5m,c!v(H5"
ウール,ウール,양모,JLPT JLPT_2,bgePnfbn;n
ウエートレス,ウエートレス,여종업원,JLPT JLPT_2,C$[Z6H5/gO
植木,うえき,"정원수, 화분의 나무",JLPT JLPT_2,j}3Ny1eUVB
飢える,うえる,"굶주리다, 주리다",JLPT JLPT_2,CQMZtp4T24
浮ぶ,うかぶ,어리다,JLPT JLPT_2,IN|gezRxCl
浮かべる,うかべる,짓다,JLPT JLPT_2,Nj{^.3q>-V
浮く,うく,뜨다,JLPT JLPT_2,JS6e6ewLTQ
承る,うけたまわる,알다,JLPT JLPT_2,IKhK:kjp?E
受取,うけとり,영수증,JLPT JLPT_2,"k?,%G]kD{4"
受け持つ,うけもつ,"맡다, 맡아보다",JLPT JLPT_2,b1cU__S&E=
薄暗い,うすぐらい,어둠침침하다,JLPT JLPT_2,m6<YpAEgo!
薄める,うすめる,죽이다,JLPT JLPT_2,F/33?d^ON{
打合せ,うちあわせ,"협의, 사전 협의",JLPT JLPT_2,I>LU.f-`NP
打ち消す,うちけす,"부인하다, 부정하다",JLPT JLPT_2,HCI~2sil9S
写る,うつる,찍히다,JLPT JLPT_2,CI<Sr}lwt|
うどん,うどん,가락국수,Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese,zUsFPVRoV;
うなずく,うなずく,까닥이다,JLPT JLPT_2,qP>fuv+29W
有無,うむ,유무,JLPT JLPT_2,zVa=(IGgn=
埋める,うめる,메우다,JLPT JLPT_2,wtEE639hh4
敬う,うやまう,공경하다,JLPT JLPT_2,hRta^!r1WT
裏返す,うらがえす,뒤치다,JLPT JLPT_2,cJR[<yA$vw
裏口,うらぐち,뒷문,JLPT JLPT_2,xTA1N/QL{`
占う,うらなう,보다,JLPT JLPT_2,isAnLJU5w0
恨み,うらみ,원한,JLPT JLPT_2,"A+B,^3x]O="
恨む,うらむ,원망하다,JLPT JLPT_2,D@R<vxJ)<U
羨む,うらやむ,부러워하다,JLPT JLPT_2,tthSa[}tg_
売上,うりあげ,판매액,JLPT JLPT_2,p9d{%uQSR:
売り上げ,うりあげ,"매상, 매상액",JLPT JLPT_2,AV/DH?U*[&
売り切れ,うりきれ,매진,JLPT JLPT_2,J#x&HGI1=J
売り切れる,うりきれる,매진되다,JLPT JLPT_2,Ls1JX0p>PP
売行き,うれゆき,판매 실적,JLPT JLPT_2,t0r)gygLV
売れ行き,うれゆき,"판매, 수요",JLPT JLPT_2,lFbE^~5.H1
うろうろ,うろうろ,얼쩡얼쩡,JLPT JLPT_2,h0R8Gh3Y^Q
上～,うわ～,"위, 위쪽",JLPT JLPT_2,IiRGZY[b#L
運河,うんが,운하,JLPT JLPT_2,os15ZQMcmE
うんと,うんと,흠뻑,JLPT JLPT_2,K1|_U:?Zi2
英文,えいぶん,영문,JLPT JLPT_2,N6cGn)]tI&
英和,えいわ,"영일, 영어-일본어",JLPT JLPT_2,iL]q/<ICwB
ええと,ええと,가만있다,JLPT JLPT_2,k9QoK3_%6*
液体,えきたい,액체,JLPT JLPT_2,CdyMwPZr;-
エチケット,エチケット,에티켓,JLPT JLPT_2,JD<(LA+lT8
絵の具,えのぐ,그림물감,JLPT JLPT_2,il.hIkd5@*
エプロン,エプロン,앞치마,JLPT JLPT_2,iE$K!WaP&V
偉い,えらい,잘나다,JLPT JLPT_2,va_:XsaQZY
宴会,えんかい,연회,JLPT JLPT_2,i-sdwsFh$Z
園芸,えんげい,원예,JLPT JLPT_2,BqeOt&R7YG
演劇,えんげき,극,JLPT JLPT_2,"Otg5e*No,p"
円周,えんしゅう,원주,JLPT JLPT_2,Q#$a9V=}iv
遠足,えんそく,소풍,JLPT JLPT_2,K/i>jpon?&
延長,えんちょう,연장,JLPT JLPT_2,kv5xP;(9Nh
煙突,えんとつ,굴뚝,JLPT JLPT_2,vA~$8Qi$g7
オーケストラ,オーケストラ,오케스트라,JLPT JLPT_2,E(IY~:+.r]
オートメーション,オートメーション,자동화,JLPT JLPT_2,w$xtVM50Wd
追いかける,おいかける,쫓아다니다,JLPT JLPT_2,IwJw]GEFbC
追い越す,おいこす,앞지르다,JLPT JLPT_2,QFqJ-N@k`a
オイル,オイル,기름,JLPT JLPT_2,lfd7.m*9JT
応援,おうえん,응원,JLPT JLPT_2,"db6u7R<V*,"
王女,おうじょ,공주,JLPT JLPT_2,mtg%KXTE/:
応ずる,おうずる,응하다,JLPT JLPT_2,uaD~LH-B3=
応接,おうせつ,응접,JLPT JLPT_2,bEx~ccePEK
応対,おうたい,응대,JLPT JLPT_2,"cy],C~WcL}"
往復,おうふく,왕복,JLPT JLPT_2,n3GyO1oyI7
欧米,おうべい,서양,JLPT_2 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,n1r<]dO&N/
応用,おうよう,응용,JLPT JLPT_2,KS%06Cn^yw
おおざっぱ,おおざっぱ,"대략적, 거칠고 세심하지 못함",JLPT JLPT_2,OHMTu7)N;!
大通り,おおどおり,"큰길, 한길",JLPT JLPT_2,e8NE2/)L:D
大凡,おおよそ,"대강, 대충",JLPT JLPT_2,"j>e8>g+K{,"
お帰り,おかえり,귀가; 어서 와,JLPT JLPT_2,J&)&R*:;&e
おかけください,おかけください,앉으세요,JLPT JLPT_2,LmStb*}|~b
おかげさまで,おかげさまで,덕분에,JLPT JLPT_2,E&mEeh`mWM
おかず,おかず,찬,JLPT JLPT_2,IW;hR&<.DQ
おかまいなく,おかまいなく,저 때문에 너무 걱정하지 마세요,JLPT JLPT_2,Bag34Ev^HT
拝む,おがむ,"절하다, 빌다",JLPT JLPT_2,BLY_FNPzlS
お代わり,おかわり,리필,JLPT JLPT_2,b}Avsf0g_X
補う,おぎなう,"보충하다, 보완하다",JLPT JLPT_2,F#($cJz>C
お気の毒に,おきのどくに,안됐군요,JLPT JLPT_2,I}O}}43=OW
屋外,おくがい,밖,JLPT JLPT_2,"b,/pc$HdnI"
送り仮名,おくりがな,오쿠리가나,JLPT JLPT_2,L0[6p2c}y;
お元気で,おげんきで,건강히 지내세요,JLPT JLPT_2,P?(I*3(kaT
怠る,おこたる,게을리하다,JLPT JLPT_2,hI%Hy&@P79
押さえる,おさえる,"누르다, 덮치다",JLPT JLPT_2,"n1S,CEj^b^"
お先に,おさきに,"먼저, 먼저 실례합니다",JLPT JLPT_2,O/_cfB(;1v
伯父,おじ,"삼촌, 큰아버지",JLPT JLPT_2,b<;4u^|F5a
叔父,おじ,"삼촌, 외삼촌",JLPT JLPT_2,b5[<>DjhLo
惜しい,おしい,아깝다,JLPT JLPT_2,u~)4Hh}G<5
伯父さん,おじさん,삼촌,JLPT JLPT_2,oFQ*.$]vx}
小父さん,おじさん,아저씨,JLPT JLPT_2,LsGH|S+7Q3
叔父さん,おじさん,삼촌,JLPT JLPT_2,"k@Fydl,X2%"
お邪魔します,おじゃまします,(방문객이) 실례합니다,JLPT JLPT_2,LMVMI71T}{
お世話になりました,おせわになりました,신세 많이 졌습니다,JLPT JLPT_2,s4cBT5H*[h
お大事に,おだいじに,몸조리 잘하세요,JLPT Genki_Ln.12 Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.12 Genki,Km@NEq/P(_
落着く,おちつく,"안정되다, 진정되다",JLPT JLPT_2,u?j1|t;RlK
お出掛け,おでかけ,외출,JLPT JLPT_2,"gaqrD^P,Ry"
お手伝いさん,おてつだいさん,가정부,JLPT JLPT_2,iZR<wUzc/1
脅かす,おどかす,으르다,JLPT JLPT_2,Q>m)3/qe`#
落し物,おとしもの,유실물,JLPT JLPT_2,bMV+Q#2]G~
驚かす,おどろかす,놀래다,JLPT JLPT_2,DG2lo{usAe
お願いします,おねがいします,"부탁합니다 (문자 그대로, 요청합니다)",JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese,oy}-GPhVx}
各々,おのおの,낱개,JLPT JLPT_2,s;E$Q88Yv[
伯母,おば,"큰어머니, 고모",JLPT JLPT_2,z:m(P{*wZ?
叔母,おば,이모,JLPT JLPT_2,Ek4&AJulO*
小母さん,おばさん,"아주머니, 아줌마",JLPT JLPT_2,tO0?[][Q}q
おはよう,おはよう,안녕. 오전에 하는 인사,JLPT JLPT_2,hzlc9[n5z=
お参り,おまいり,참배,JLPT JLPT_2,j2uP1/H2nj
お待たせしました,おまたせしました,기다리시게 해서 죄송합니다,JLPT JLPT_2,tWES^gs*3w
お待ちください,おまちください,잠시만 기다려 주세요,JLPT JLPT_2,A/UH`kBoC-
おまちどおさま,おまちどおさま,오래 기다리셨습니다,JLPT JLPT_2,kyL%[N^|az
おめでたい,おめでたい,어수룩하다,JLPT JLPT_2,"eET,n2`P|Z"
思い掛けない,おもいがけない,뜻밖의,JLPT JLPT_2,pxYW;;jVL[
思い切り,おもいきり,"한껏, 실컷",JLPT JLPT_2,u6znaLhPyo
思い込む,おもいこむ,믿다,JLPT JLPT_2,ggq%!UTv!w
思いっ切り,おもいっきり,"마음껏, 실컷",JLPT JLPT_2,"z,O=En=;Mc"
思いっきり,おもいっきり,최선을 다해,JLPT JLPT_2,"B,fE|/^X*C"
重たい,おもたい,"무겁다, 마음이 무겁다",JLPT JLPT_2,kxf3li]&Z0
お休み,おやすみ,휴일; 결석; 안녕히 주무세요,JLPT JLPT_2,g*1:u%%pd(
おやつ,おやつ,간식거리,JLPT JLPT_2,F0Bgt+CKGH
親指,おやゆび,엄지,JLPT JLPT_2,Q]+3Y_+I|o
オルガン,オルガン,"오르간, 풍금",JLPT JLPT_2,r4P=wfH}tX
御～,おん～,존칭 접두어,JLPT JLPT_2,oiyGIL2u!>
恩恵,おんけい,혜택,JLPT JLPT_2,t6?1>QfZ5F
温室,おんしつ,온실,JLPT JLPT_2,j@PV(c1<I%
温泉,おんせん,온천,JLPT Intermediate_Japanese JLPT_2 Genki_Ln.9 Intermediate_Japanese_Ln.10 Genki,p7%rZNufe3
温帯,おんたい,온대,JLPT JLPT_2,it?~KTCCdv
御中,おんちゅう,귀중,JLPT JLPT_2,i:g_|_*4fM
女の人,おんなのひと,여자,Genki_Ln.7 JLPT JLPT_2 Genki,k`gpRcVkY^
蚊,か,모기,JLPT JLPT_2,j=4=()Uwi2
カーブ,カーブ,커브,JLPT JLPT_2,"H$,bx/Aa*A"
貝,かい,조개,JLPT JLPT_2,HNd6/BU{>X
外～,がい～,"바깥, 밖",JLPT JLPT_2,hm9sVyWCE}
開会,かいかい,개회,JLPT JLPT_2,Lh4g/O2OJM
会館,かいかん,회관,JLPT JLPT_2,liybJFP&?H
改札,かいさつ,개찰,JLPT JLPT_2,y:jbDc8VoT
解散,かいさん,해산,JLPT JLPT_2,k.tjPn~)Hk
海水浴,かいすいよく,해수욕,JLPT JLPT_2,b`BB!zK8zx
回数,かいすう,횟수,JLPT JLPT_2,e]X6r<D@Yf
回数券,かいすうけん,회수권,JLPT JLPT_2,vh5]if8XnX
改正,かいせい,개정,JLPT JLPT_2,wJ:fR1W1sK
快晴,かいせい,쾌청,JLPT JLPT_2,ud00-YM]pE
解説,かいせつ,해설,JLPT JLPT_2,"z,rNuHyUJ$"
改造,かいぞう,개조,JLPT JLPT_2,GV-RfF@Gn1
開通,かいつう,개통,JLPT JLPT_2,BJU-xej2c~
回転,かいてん,회전,JLPT JLPT_2,bT_5rLaFDl
解答,かいとう,해답,JLPT JLPT_2,"yT|.1iJ,_Q"
回答,かいとう,"회답, 답신",JLPT JLPT_2,E!J[iX3Ig-
外部,がいぶ,외부,JLPT JLPT_2,yk*]@{a4/.
解放,かいほう,해방,JLPT JLPT_2,zS7|<$4Sg9
開放,かいほう,개방,JLPT JLPT_2,K(=v$Si}Sa
海洋,かいよう,해양,JLPT JLPT_2,"c?Kf,aYa,k"
